Filename,st_date,st_time_UTC,cal1_st_date,cal1_st_time_UTC,cal1_end_date,cal1_end_time_UTC,deploy_date ,deploy_time_UTC,retrieve_date ,retrieve_time_UTC,cal2_st_date,cal2_st_time_UTC,cal2_end_date,cal2_end_time_UTC,notes
GLS8 D02 B67,13/12/2019,17:40:00,13/12/2019,17:40:00,19/12/2019,17:30:00,22/12/2019,19:00:00,22/01/2022,14:00:00,22/01/2022,20:30:00,25/01/2022,13:30:00,
GLS11 D05 B70,13/12/2019,17:53:00,13/12/2019,17:53:00,19/12/2019,17:30:00,22/12/2019,19:00:00,22/01/2022,14:00:00,22/01/2022,20:30:00,25/01/2022,13:30:00,
GLS20 D13 B81,13/12/2019,18:18:00,13/12/2019,18:18:00,19/12/2019,17:30:00,23/12/2019,19:00:00,16/01/2022,14:30:00,16/01/2022,18:00:00,20/01/2022,15:27:00,4 hour hiatus middle of day 18 Jan when device shifted from tent to CONAF house
GLS37 D15 B83,19/12/2019,18:43:00,19/12/2019,18:43:00,25/12/2019,17:00:00,28/12/2019,15:00:00,16/01/2022,14:30:00,16/01/2022,18:00:00,20/01/2022,15:42:00,4 hour hiatus middle of day 18 Jan when device shifted from tent to CONAF house
GLS38 D17 B93,19/12/2019,18:48:00,19/12/2019,18:48:00,25/12/2019,17:00:00,28/12/2019,15:00:00,16/01/2022,14:30:00,16/01/2022,18:00:00,20/01/2022,15:14:00,4 hour hiatus middle of day 18 Jan when device shifted from tent to CONAF house
GLS55 D23 B79,24/12/2019,20:03:00,25/12/2019,17:00:00,30/12/2019,17:00:00,02/01/2020,19:30:00,08/01/2022,14:00:00,08/01/2022,18:30:00,12/01/2022,16:06:00,4 hour hiatus middle of day 11 Jan when device shifted from tent to CONAF house
GLS57 D25 B81,24/12/2019,20:08:00,25/12/2019,17:00:00,30/12/2019,17:00:00,02/01/2020,19:00:00,08/01/2022,14:00:00,08/01/2022,18:30:00,12/01/2022,15:21:00,4 hour hiatus middle of day 11 Jan when device shifted from tent to CONAF house
GLS59 D26 B64,24/12/2019,20:12:00,25/12/2019,17:00:00,30/12/2019,17:00:00,07/01/2020,19:00:00,08/01/2022,14:00:00,08/01/2022,18:30:00,12/01/2022,15:52:00,4 hour hiatus middle of day 11 Jan when device shifted from tent to CONAF house
GLS60 D27 B67,24/12/2019,20:14:00,25/12/2019,17:00:00,30/12/2019,17:00:00,07/01/2020,19:00:00,08/01/2022,14:00:00,08/01/2022,18:30:00,12/01/2022,15:04:00,4 hour hiatus middle of day 11 Jan when device shifted from tent to CONAF house
GLS62 D30 B70,24/12/2019,20:19:00,25/12/2019,17:00:00,30/12/2019,17:00:00,07/01/2020,19:00:00,08/01/2022,14:00:00,08/01/2022,18:30:00,12/01/2022,15:38:00,4 hour hiatus middle of day 11 Jan when device shifted from tent to CONAF house
