"","File","ID","zen","zen0","alpha_mean","alpha_sd"
"1","GLS11 D05 B70.lux","GLS11 D05 B70",94.7362024013237,95.1053384639758,0.761216662230832,0.380300876197169
"2","GLS20 D13 B81.lux","GLS20 D13 B81",95.6623035464372,96.5614737217781,0.799102415964358,0.129679445018969
"3","GLS37 D15 B83.lux","GLS37 D15 B83",94.9908068864205,96.5927160018012,1.06647105301711,0.128513579611915
"4","GLS38 D17 B93.lux","GLS38 D17 B93",95.4052644567589,96.3456376871881,0.764754350795173,0.129444196358459
"5","GLS55 D23 B79.lux","GLS55 D23 B79",95.2109420403764,96.3803486281195,0.888496373637714,0.139737974822579
"6","GLS57 D25 B81.lux","GLS57 D25 B81",95.4897553734441,96.6865971607451,0.665937590700738,0.0952273323133998
"7","GLS59 D26 B64.lux","GLS59 D26 B64",95.6363274897866,96.5548734633074,0.801165362680584,0.102542603983089
"8","GLS60 D27 B67.lux","GLS60 D27 B67",95.261400467227,96.9105166720683,0.699105340061841,0.0600836674395311
"9","GLS62 D30 B70.lux","GLS62 D30 B70",95.6594100201722,96.7780030469259,0.666224226609515,0.0767847284226507
"10","GLS8 D02 B67.lux","GLS8 D02 B67",95.1914956088078,104.683395076306,0.349114358443895,0.00679821669867579
